,TOA Wa,TOA Ve,BOA Wa,BOA Ve
B2,1217,1008,655,345
B3,1044,799,795,412
B4,848,548,700,308
B5,788,734,694,608
B6,537,1723,394,1817
B7,529,2239,409,2280
B8,425,2171,316,2382
B8A,375,2525,238,2541
B11,85,1219,37,1329
B12,54,543,31,648
