,Date,mm
192,2017-07-12,0.0
193,2017-07-13,0.0
194,2017-07-14,0.0
195,2017-07-15,0.0
196,2017-07-16,0.0
197,2017-07-17,2.3210492058231327
198,2017-07-18,0.0
199,2017-07-19,0.0
200,2017-07-20,0.0
201,2017-07-21,0.0
202,2017-07-22,0.0
203,2017-07-23,2.1691438240546956
204,2017-07-24,0.0
205,2017-07-25,0.0
206,2017-07-26,0.0
207,2017-07-27,0.0
208,2017-07-28,0.0
209,2017-07-29,0.0
210,2017-07-30,0.0
211,2017-07-31,0.0
212,2017-08-01,0.0
213,2017-08-02,0.0
214,2017-08-03,0.0
215,2017-08-04,0.0
216,2017-08-05,1.7837958102684226
217,2017-08-06,0.0
218,2017-08-07,0.0
219,2017-08-08,2.2874727704215183
220,2017-08-09,0.0
221,2017-08-10,0.0
222,2017-08-11,0.0
223,2017-08-12,0.0
224,2017-08-13,1.5929714762800824
225,2017-08-14,0.12359879138106002
226,2017-08-15,0.0
227,2017-08-16,0.22906184844108615
228,2017-08-17,0.0
229,2017-08-18,0.033415489035137615
230,2017-08-19,0.0
231,2017-08-20,0.0
232,2017-08-21,0.0
233,2017-08-22,0.1131626341760495
234,2017-08-23,0.0
235,2017-08-24,0.0
236,2017-08-25,5.156715980141849
237,2017-08-26,0.0
238,2017-08-27,5.25930154341358
239,2017-08-28,0.0
240,2017-08-29,0.0
241,2017-08-30,0.0
242,2017-08-31,0.0
243,2017-09-01,0.0
244,2017-09-02,0.0
245,2017-09-03,0.0
246,2017-09-04,0.0
247,2017-09-05,0.0
248,2017-09-06,2.6648681755820216
249,2017-09-07,0.0
250,2017-09-08,0.0
251,2017-09-09,0.0
252,2017-09-10,0.0
253,2017-09-11,0.0
254,2017-09-12,0.0
255,2017-09-13,0.0
256,2017-09-14,0.0
257,2017-09-15,0.0
258,2017-09-16,0.0
259,2017-09-17,0.0
260,2017-09-18,0.11883668518066401
261,2017-09-19,0.0
262,2017-09-20,0.0
263,2017-09-21,0.05564645221947275
264,2017-09-22,0.0
265,2017-09-23,0.0
266,2017-09-24,0.0
267,2017-09-25,11.800396250299139
268,2017-09-26,30.078952254214517
269,2017-09-27,0.0
270,2017-09-28,0.0
271,2017-09-29,1.1329968882846289
272,2017-09-30,0.08202445552847477
273,2017-10-01,2.044805415579154
274,2017-10-02,0.26186273208984534
275,2017-10-03,0.0
276,2017-10-04,0.0
277,2017-10-05,0.07040398562156545
278,2017-10-06,0.0
279,2017-10-07,3.5173046395468828
280,2017-10-08,1.1373349462175097
281,2017-10-09,16.425326679078864
282,2017-10-10,0.0
283,2017-10-11,0.0
284,2017-10-12,0.0
285,2017-10-13,0.0
286,2017-10-14,0.0
287,2017-10-15,0.0
288,2017-10-16,0.0
289,2017-10-17,0.0
290,2017-10-18,0.0
291,2017-10-19,0.0
292,2017-10-20,5.099156061032395
293,2017-10-21,6.906766225028171
294,2017-10-22,0.0016185510926327456
295,2017-10-23,4.919789716677476
296,2017-10-24,2.9037276333954374
297,2017-10-25,0.20441847325987728
298,2017-10-26,6.4396008932792475
299,2017-10-27,0.7201520520926867
300,2017-10-28,0.0
301,2017-10-29,0.0
302,2017-10-30,0.0
303,2017-10-31,0.0
304,2017-11-01,0.0
305,2017-11-02,0.0
306,2017-11-03,0.0
307,2017-11-04,0.0
308,2017-11-05,0.0
309,2017-11-06,0.0
310,2017-11-07,0.0
311,2017-11-08,0.0
312,2017-11-09,7.591400674119506
313,2017-11-10,7.910146193164887
314,2017-11-11,0.0
315,2017-11-12,0.0
316,2017-11-13,0.0
317,2017-11-14,8.46032785304656
318,2017-11-15,22.682006635418038
319,2017-11-16,0.0714028182487703
320,2017-11-17,0.0
321,2017-11-18,0.0
322,2017-11-19,0.0
323,2017-11-20,0.0
324,2017-11-21,0.4949180619406832
325,2017-11-22,6.070192083434195
326,2017-11-23,6.814596628318396
327,2017-11-24,6.656095346612441
328,2017-11-25,7.020086267148032
329,2017-11-26,0.0
330,2017-11-27,0.0
331,2017-11-28,0.0
332,2017-11-29,3.373822112142701
333,2017-11-30,0.41631100106104607
334,2017-12-01,5.172877953286896
335,2017-12-02,6.680014038129041
336,2017-12-03,0.8424216971693734
337,2017-12-04,3.926860366217833
338,2017-12-05,0.17878732021245572
339,2017-12-06,5.166847177494716
340,2017-12-07,7.072760556635881
341,2017-12-08,0.37120697876019654
342,2017-12-09,0.0
343,2017-12-10,3.5361289969999232
344,2017-12-11,6.261697092077827
345,2017-12-12,4.084094231891093
346,2017-12-13,6.817379678833955
347,2017-12-14,0.0
348,2017-12-15,0.0
349,2017-12-16,0.0
350,2017-12-17,4.419294062576724
351,2017-12-18,4.508046610535873
352,2017-12-19,0.08728146929121285
353,2017-12-20,0.10902063675788831
354,2017-12-21,4.193225272755162
355,2017-12-22,7.116064533556918
356,2017-12-23,0.0
357,2017-12-24,0.8798026156452413
358,2017-12-25,0.29501606925059165
359,2017-12-26,0.0
360,2017-12-27,1.6914678174358297
361,2017-12-28,2.806570977022418
362,2017-12-29,7.06161854372186
363,2017-12-30,13.393363013488422
