,NDVI_NW,MNDWI_NW,MNWS_NW,NDVI_SW,MNDWI_SW,MNWS_SW,NDVI_PW,MNDWI_PW,MNWS_PW
2017-01-06,-0.5440414547920227,-0.8023294806480408,0.5170579552650452,-0.5218295454978943,-0.8267920613288879,0.12898074090480804,-0.8616352081298828,-0.6379066705703735,0.06285794824361801
2017-01-19,-0.9263803958892822,-0.8410020470619202,0.13827326893806458,-0.8549848794937134,-0.8570364713668823,0.1523953378200531,-1.0,-0.7388159036636353,0.0564122274518013
2017-02-08,-0.3590225577354431,-0.9936133623123169,0.16781167685985565,-0.4682822525501251,-0.817925214767456,0.11059854179620743,-0.5858123302459717,-0.6730813980102539,0.047810204327106476
2017-02-15,-0.49624061584472656,-0.8654682636260986,0.24244816601276398,-0.5185936689376831,-0.7981096506118774,0.08670684695243835,-0.9793814420700073,-0.7983193397521973,0.09849296510219574
2017-02-25,-0.7783132791519165,-0.8134251236915588,0.2523091435432434,-0.7620137333869934,-0.8183873295783997,0.0838286504149437,-1.0,-0.5845469236373901,0.10297374427318573
2017-03-07,-0.48227372765541077,-0.7740342617034912,0.7332123517990112,-0.4886164665222168,-0.7550909519195557,0.14961735904216766,-0.8350857496261597,-0.7893538475036621,0.04848982393741608
2017-03-17,-0.36406397819519043,-0.8266393542289734,0.8643954992294312,-0.5396289825439453,-0.7364953756332397,0.24192923307418823,-1.0,-0.5615686178207397,0.037175148725509644
2017-03-27,-0.34216588735580444,-0.7257484793663025,1.3323922157287598,-0.45558270812034607,-0.6776765584945679,0.21476522088050842,-0.5574302673339844,-0.5108720064163208,0.04182661324739456
2017-03-30,-0.34040501713752747,-0.7289719581604004,0.8068950772285461,-0.48175182938575745,-0.6985068321228027,0.11681545525789261,-0.6290050745010376,-0.5297560691833496,0.04737133905291557
2017-04-16,-0.6499999761581421,-0.7508100271224976,0.8443968296051025,-0.5733634233474731,-0.7155242562294006,0.05976225808262825,-0.6649395227432251,-0.5120418667793274,0.045037172734737396
2017-04-19,-0.6234567761421204,-0.9345794320106506,0.31814712285995483,-0.6133121848106384,-0.7293144464492798,0.11932280659675598,-0.6535432934761047,-0.5515872836112976,0.04542103037238121
2017-05-09,-0.27563026547431946,-0.7723898887634277,1.174660563468933,-0.40656062960624695,-0.6375334858894348,0.4677557945251465,-0.5612082481384277,-0.504915714263916,0.04001254960894585
2017-05-16,-0.4146341383457184,-0.6839521527290344,0.3122076988220215,-0.4950781762599945,-0.616782009601593,0.1185588613152504,-0.6777658462524414,-0.4056115448474884,0.033446136862039566
2017-05-19,-0.49854791164398193,-0.7181664109230042,0.32146182656288147,-0.554347813129425,-0.6005204916000366,0.06754405051469803,-0.6993288397789001,-0.4356410801410675,0.043346162885427475
2017-06-08,-0.38797813653945923,-0.9449495673179626,0.26312255859375,-0.3861192464828491,-0.6427104473114014,0.06488092988729477,-0.5362426042556763,-0.34092825651168823,0.02963791787624359
2017-06-15,-0.45822784304618835,-0.7261968851089478,0.49150899052619934,-0.6754098534584045,-0.6632626056671143,0.07281867414712906,-0.7495396137237549,-0.38572457432746887,0.060702186077833176
2017-06-25,-0.3948562741279602,-0.7739169597625732,0.781488835811615,-0.733137845993042,-0.6557509899139404,0.1266573667526245,-0.7301855087280273,-0.40042486786842346,0.040513474494218826
2017-06-28,-0.4275427460670471,-0.7350964546203613,0.46011224389076233,-0.5922077894210815,-0.6538804769515991,0.08484594523906708,-0.6789727210998535,-0.23272904753684998,0.07188808172941208
2017-06-30,-0.5781487226486206,-0.7450199127197266,0.6071741580963135,-0.7137746214866638,-0.6964235305786133,0.09168737381696701,-0.8518518805503845,-0.3137902617454529,0.049097634851932526
2017-07-05,-0.5298804640769958,-0.9026769399642944,0.6869203448295593,-0.8775510191917419,-0.678045928478241,0.08273598551750183,-0.8357487916946411,-0.34312695264816284,0.056169506162405014
2017-07-15,-0.36151278018951416,-0.7964151501655579,0.6924575567245483,-0.4303797483444214,-0.6616297960281372,0.08642622083425522,-0.4579792320728302,-0.3245033025741577,0.04332580789923668
2017-07-18,-0.7051792740821838,-1.0,0.8028844594955444,-0.7559055089950562,-0.7005633115768433,0.07849805057048798,-0.9259259104728699,-0.3787323236465454,0.014772197231650352
2017-07-20,-0.6074073910713196,-0.9444858431816101,0.42834341526031494,-0.8602620363235474,-0.8185129761695862,0.10422277450561523,-0.9693356156349182,-0.3864569067955017,0.052096761763095856
2017-07-23,-0.3025125563144684,-0.887946367263794,0.6269149780273438,-0.48571428656578064,-0.5930493474006653,0.09928332269191742,-0.5822299718856812,-0.47868624329566956,0.04871814697980881
2017-07-25,-0.4627451002597809,-0.971860408782959,0.8270775079727173,-0.598870038986206,-0.6706281900405884,0.07572279870510101,-0.7096773982048035,-0.40262916684150696,0.03708178177475929
2017-07-28,-0.5136911273002625,-0.9051617980003357,0.8764876127243042,-0.8086956739425659,-0.6767624020576477,0.11470364034175873,-0.9580952525138855,-0.380952388048172,0.03648459166288376
2017-07-30,-0.4943369925022125,-0.694966197013855,0.6115946769714355,-0.5770554542541504,-0.616500735282898,0.06311777979135513,-0.6543585658073425,-0.6601895689964294,0.04021386057138443
2017-08-02,-0.6164053082466125,-0.8274328708648682,0.6536309719085693,-0.7860261797904968,-0.7017499208450317,0.06723494827747345,-0.843137264251709,-0.3105763792991638,0.06241666153073311
2017-08-04,-0.7750611305236816,-0.8444595336914062,0.392049640417099,-1.0,-0.7263591885566711,0.13402312994003296,-1.0,-0.5114888548851013,0.10485246032476425
