,"B2
490 nm","B3
560 nm","B4
665 nm","B5
705 nm","B6
750 nm","B7
783 nm","B8
842 nm","B8A
865 nm","B11
1910 nm","B12
2190 nm",lc
mean,0.41573959505061864,0.42482114735658044,0.432489538807649,0.45088098987626546,0.5223087739032621,0.5357061867266592,0.5288658042744657,0.5572705286839145,0.5010200224971879,0.41937626546681667,Cloud
std,0.14551417041246129,0.142370010184847,0.14868761350802054,0.13828664864879234,0.12152605906158578,0.11460177435212024,0.11496646289504077,0.11403451038344203,0.0994352077716645,0.09329073506571069,Cloud
mean,0.008477374599786553,0.013840875133404484,0.00844759871931697,0.01803681963713981,0.0510392742796158,0.060750373532550694,0.056461899679829244,0.06454258271077909,0.029860298826040552,0.014484738527214514,Cloud shadow
std,0.00561659061250299,0.006284396332784186,0.008149582935760331,0.008623282668279515,0.019581329813129263,0.024071595098070518,0.023832105262841463,0.026910654463694464,0.01664029333586911,0.008446481323790406,Cloud shadow
mean,0.06555387559808612,0.07899636363636364,0.07403875598086124,0.07910258373205742,0.05807703349282296,0.05778105263157895,0.050278564593301434,0.04324114832535885,0.011313110047846889,0.008206985645933014,Water
std,0.015210669929268502,0.023946607398988313,0.03527887964527284,0.039041883431775025,0.03235553552223899,0.03342919126142332,0.03016935912044537,0.025514077900129547,0.00909720023413505,0.0059589013076115855,Water
mean,0.07544491017964071,0.09010898203592815,0.09217754491017964,0.13067604790419163,0.22987799401197603,0.2530616766467066,0.26519790419161676,0.2768667664670659,0.22448143712574853,0.16626661676646706,Settlement
std,0.027759979301442354,0.031873327950566355,0.04214375489585756,0.03895284268411118,0.04412843811243316,0.04709692896595511,0.05817892214632159,0.05455226703267382,0.05809193367715834,0.05680520709014766,Settlement
mean,0.053341853035143764,0.056212619808306705,0.06613274760383386,0.08159840255591055,0.11087220447284345,0.12015575079872205,0.12621916932907348,0.13733067092651757,0.1818514376996805,0.15625255591054313,Dark soil
std,0.003920388440035856,0.005174384648015937,0.006108930993111172,0.00586444724113786,0.013624435480874941,0.01429379189982138,0.017625120707356355,0.014450909514253329,0.022517573002650896,0.02494250287073992,Dark soil
mean,0.12466734693877551,0.15072973760932942,0.1904737609329446,0.2181951895043732,0.2580685131195335,0.26945102040816327,0.28126413994169097,0.29697128279883384,0.402348250728863,0.3748409620991254, Bright soil
std,0.02708066427317724,0.035993795356486474,0.044014038034278447,0.041789812856450725,0.038271744449233286,0.03520423320360205,0.034641815537176664,0.032540219790982594,0.06690815616872944,0.08482796225874357, Bright soil
