,Lon. S2-DWM (Pw),Lon. JRC-GSW-S (Pw),km
19.7,24.94,20.73,19.7
19.8,24.09,19.99,19.8
19.9,24.08,19.95,19.9
20.0,23.93,20.41,20.0
20.1,24.76,20.39,20.1
20.2,24.99,20.74,20.2
20.3,25.24,20.6,20.3
20.4,24.7,20.26,20.4
20.5,23.76,19.97,20.5
20.6,22.38,18.72,20.6
20.7,21.01,17.88,20.7
20.8,20.66,16.34,20.8
20.9,20.17,15.23,20.9
21.0,19.34,13.71,21.0
21.1,19.05,13.27,21.1
21.2,19.22,12.82,21.2
21.3,19.3,11.83,21.3
21.4,19.56,11.78,21.4
21.5,19.82,12.09,21.5
21.6,20.2,11.91,21.6
21.7,20.01,12.15,21.7
21.8,20.16,12.53,21.8
21.9,19.76,12.93,21.9
22.0,19.17,13.54,22.0
22.1,18.94,13.69,22.1
22.2,19.03,14.21,22.2
22.3,19.0,14.85,22.3
22.4,18.9,14.7,22.4
22.5,19.07,14.61,22.5
22.6,19.04,14.93,22.6
22.7,18.76,14.36,22.7
22.8,18.87,13.58,22.8
22.9,18.96,13.41,22.9
23.0,19.3,13.24,23.0
23.1,19.77,13.46,23.1
23.2,19.85,13.52,23.2
23.3,19.43,13.75,23.3
23.4,18.52,13.66,23.4
23.5,18.1,13.46,23.5
23.6,17.56,14.12,23.6
23.7,16.99,14.04,23.7
23.8,16.74,14.25,23.8
23.9,16.3,13.93,23.9
24.0,15.74,13.37,24.0
24.1,15.22,12.21,24.1
24.2,14.83,11.79,24.2
24.3,14.02,10.42,24.3
24.4,13.07,8.51,24.4
24.5,11.47,8.08,24.5
24.6,10.83,7.17,24.6
24.7,10.52,6.5,24.7
24.8,10.22,6.62,24.8
24.9,10.39,6.24,24.9
25.0,10.65,6.11,25.0
25.1,11.38,5.41,25.1
25.2,11.06,5.1,25.2
25.3,10.88,5.49,25.3
25.4,10.38,4.9,25.4
25.5,9.86,4.24,25.5
25.6,9.9,4.06,25.6
25.7,9.47,4.27,25.7
25.8,8.54,4.51,25.8
25.9,8.09,4.51,25.9
26.0,7.56,4.78,26.0
26.1,6.85,5.19,26.1
26.2,6.67,5.43,26.2
26.3,6.6,5.64,26.3
26.4,6.63,5.64,26.4
26.5,6.22,5.61,26.5
26.6,5.73,5.43,26.6
26.7,5.29,5.0,26.7
26.8,4.6,4.29,26.8
26.9,4.25,3.87,26.9
27.0,3.8,3.46,27.0
27.1,3.48,3.07,27.1
27.2,3.44,2.63,27.2
27.3,3.2,2.11,27.3
27.4,2.76,1.57,27.4
27.5,2.43,1.6,27.5
27.6,2.04,0.68,27.6
27.7,1.37,0.0,27.7
27.8,0.9,0.0,27.8
27.9,0.67,0.0,27.9
28.0,0.53,0.0,28.0
28.1,0.5,0.0,28.1
28.2,0.1,0.0,28.2
28.3,0.0,0.0,28.3
28.4,0.0,0.0,28.4
28.5,0.0,0.0,28.5
28.6,0.0,0.0,28.6
28.7,0.0,0.0,28.7
28.8,0.0,0.0,28.8
28.9,0.0,0.0,28.9
29.0,0.0,0.0,29.0
29.1,0.0,0.0,29.1
29.2,0.0,0.0,29.2
29.3,0.0,0.0,29.3
29.4,0.0,0.0,29.4
29.5,0.0,0.0,29.5
29.6,0.0,0.0,29.6
29.7,0.0,0.0,29.7
29.8,0.0,0.0,29.8
29.9,0.0,0.0,29.9
30.0,0.0,0.0,30.0
30.1,0.0,0.0,30.1
30.2,0.0,0.0,30.2
30.3,0.0,0.0,30.3
30.4,0.0,0.0,30.4
30.5,0.0,0.0,30.5
30.6,0.0,0.0,30.6
30.7,0.0,0.0,30.7
30.8,0.0,0.0,30.8
30.9,0.0,0.0,30.9
31.0,0.0,0.0,31.0
31.1,0.0,0.0,31.1
31.2,0.0,0.0,31.2
31.3,0.0,0.0,31.3
31.4,0.0,0.0,31.4
31.5,0.0,0.0,31.5
31.6,0.0,0.0,31.6
31.7,0.0,0.0,31.7
31.8,0.0,0.0,31.8
31.9,0.0,0.0,31.9
32.0,0.0,0.0,32.0
32.1,0.0,0.0,32.1
32.2,0.0,0.0,32.2
32.3,0.0,0.0,32.3
32.4,0.0,0.0,32.4
32.5,0.0,0.0,32.5
32.6,0.0,0.0,32.6
32.7,0.0,0.0,32.7
32.8,0.0,0.0,32.8
32.9,0.0,0.0,32.9
33.0,0.0,0.0,33.0
33.1,0.0,0.0,33.1
33.2,0.0,0.0,33.2
33.3,0.0,0.0,33.3
33.4,0.0,0.0,33.4
33.5,0.0,0.0,33.5
33.6,0.0,0.0,33.6
33.7,0.0,0.0,33.7
33.8,0.0,0.0,33.8
33.9,0.0,0.0,33.9
34.0,0.0,0.0,34.0
34.1,0.0,0.0,34.1
34.2,0.0,0.0,34.2
34.3,0.0,0.0,34.3
34.4,0.0,0.0,34.4
34.5,0.0,0.0,34.5
34.6,0.0,0.0,34.6
34.7,0.0,0.0,34.7
34.8,0.0,0.0,34.8
34.9,0.0,0.0,34.9
35.0,0.0,0.0,35.0
35.1,0.0,0.0,35.1
35.2,0.0,0.0,35.2
35.3,0.0,0.0,35.3
35.4,0.0,0.0,35.4
35.5,0.0,0.0,35.5
35.6,0.0,0.0,35.6
35.7,0.0,0.0,35.7
35.8,0.0,0.0,35.8
35.9,0.0,0.0,35.9
36.0,0.0,0.0,36.0
36.1,0.0,0.0,36.1
36.2,0.0,0.0,36.2
36.3,0.0,0.0,36.3
36.4,0.0,0.0,36.4
36.5,0.0,0.0,36.5
36.6,0.0,0.0,36.6
36.7,0.0,0.0,36.7
36.8,0.0,0.0,36.8
36.9,0.0,0.0,36.9
37.0,0.0,0.0,37.0
37.1,0.0,0.0,37.1
37.2,0.0,0.0,37.2
37.3,0.0,0.0,37.3
37.4,0.0,0.0,37.4
37.5,0.0,0.0,37.5
37.6,0.0,0.0,37.6
37.7,0.0,0.0,37.7
37.8,0.0,0.0,37.8
37.9,0.0,0.0,37.9
38.0,0.0,0.0,38.0
38.1,0.0,0.0,38.1
38.2,0.0,0.0,38.2
38.3,0.0,0.0,38.3
38.4,0.0,0.0,38.4
38.5,0.0,0.0,38.5
38.6,0.0,0.0,38.6
38.7,0.0,0.0,38.7
38.8,0.0,0.0,38.8
38.9,0.0,0.0,38.9
39.0,0.0,0.0,39.0
39.1,0.0,0.0,39.1
39.2,0.0,0.0,39.2
39.3,0.0,0.0,39.3
39.4,0.0,0.0,39.4
39.5,0.0,0.0,39.5
39.6,0.0,0.0,39.6
39.7,0.0,0.0,39.7
39.8,0.0,0.0,39.8
39.9,0.0,0.0,39.9
40.0,0.0,0.0,40.0
40.1,0.0,0.0,40.1
40.2,0.0,0.0,40.2
40.3,0.0,0.0,40.3
40.4,0.0,0.0,40.4
40.5,0.0,0.0,40.5
40.6,0.0,0.0,40.6
40.7,0.0,0.0,40.7
40.8,0.0,0.0,40.8
40.9,0.0,0.0,40.9
41.0,0.0,0.0,41.0
41.1,0.0,0.0,41.1
41.2,0.0,0.0,41.2
